Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
  160897   624793    27989   596291        0   174008    12053   13119M  830752K 6805576K  329381K 45911768      456547    792526  1367872   456249  336153K  427846K  176513K  2285120  4480296  5810441 
  155356   627562    28122   598503        0   174357    12071    15340      982     4650        0        0      459274    794913  1367731   456200      141        0     2630        0        0        0 
  145101   632568    28219   603696        0   174387    12079    16730      524     4152        0        0      467685    796798  1367712   456198       19        0     8451        0        0        0 
  126588   642575    30971   607974        0   175883    12524    25918      629    18272        0        0      472716    808804  1367617   456170       44        0     2377        0        0        0 
  112324   649281    35070   611913        0   175398    12671    13480      257    11505        0        0      476881    819383  1367612   456170        5        0        1        0        0        0 
   98465   655902    40279   613993        0   175423    12663     9870       16     9392        0        0      482191    827983  1367610   456170        2        0        0        0        0        0 
   79163   666078    43893   619465        0   175450    12479    20270      269    18167        0      184      485805    843631  1367608   456170        2        0       48        0        0        0 
   67696   671187    47008   622533        0   175563    12324     9965       24     9287        0        0      489103    851625  1367596   456164       12        0        0        0        0        0 
   59017   675118    50728   623302        0   175914    12314    12808      558     8777        0        0      492976    856172  1367583   456155        5        0       29        0        0        0 
   52711   678528    53282   623861        0   175594    12316     5630       32     5010        0        0      495562    860109  1367570   456149       13        0       48        0        0        0 
   42997   683083    57427   624825        0   175605    12316     9467      273     7469        0        0      499873    865462  1367564   456146        6        0        0        0        0        0 
   52919   678594    62180   615250        0   175530    12326     5813       24     5103        0        0      504853    851171  1366557   455697       34        0        0        0        0        0 
   40986   686318    63472   618256        0   175509    12326    14235      410    11740        0        0      506287    861759  1366392   455641      165        0       48        0        0        0 
   29278   688624    62694   624332        0   179602    12115    19531     1171    16041        0        0      506298    869352  1366383   455637        9        0       45        0        0        0 
   24054   690907    61936   627654        0   179854    12224     6490     1292     6082        0        0      506302    874195  1366380   455636        3        0        0        0        0        0 
   23612   693750    61588   630324        0   175247    12647     2139       98      707        0        0      506304    879358  1366380   455636        0        0        0        0        0        0 
   20674   694902    61040   632664        0   175249    12647     5430      634     3521        0        0      506309    882297  1366380   455636        0        0        0        0        0        0 
   20330   695068    61026   632862        0   175249    12647     1477      141     1110        0        0      506311    882645  1366365   455630       15        0        0        0        0        0 
   16284   696965    60184   634922        0   176082    10668     9869      578     6328        0        0      506319    885752  1366333   455620       32        0       29        0        0        0 
   15263   697291    60189   635745        0   176049    10676     2967      195     2681        0        0      506327    886898  1366332   455619        1        0        0        0        0        0 
   12945   698920    60192   636473        0   176051    10668     3421      114     3241        0        0      506330    889255  1366332   455619        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   10688   699538    60211   638299        0   175843    10870   13119M  830760K 6805732K  329381K 45911952      506341    891707  1366332   455619  336154K  427846K  176527K  2285120  4480296  5810441 
   11662   699352    60098   638496        0   174909    12633    48865      280    23781        0        0      506346    891600  1366214   455510      118        0        0        0        0        0 
    6361   702867    34310   666122        0   175158    12632   101617     2193    70074       21        9      481049    922250  1366107   455421      107        0       10        4        0        0 
   11957   700287       33   697106        0   175773    12333   266872     1230   221284        5      128      402233    995193  1364989   454906       88        0        2      271        0        0 
   37965   675542    16234   680108        0   175410    12241    15002      526    12422        0       94      418121    953763  1364988   454904        4        3       36        0        0        0 
