Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
  150258   682846    28981   678126        0   182100     2461   12354M  790978K 6422192K  322165K 43971489      386948   1003005  1137946   317837  332160K  422034K  169085K  2235620  4454059  5792390 
  148585   683779    29099   677428        0   183541     1297    10306      706     5420        0        0      389612   1000694  1137941   317837        5        0     2646        0        0        0 
  143452   698558    28999   677030        0   174413     1476    20816      851     3926        0        0      392833   1011754  1137916   317833       25        0     3326        0        0        0 
  126055   702991    31865   677042        0   184355     1909    31360      542    24028        0        0      395700   1016198  1137916   317833        0        0      106        0        0        0 
  111570   718446    36438   680962        0   174747     2107    74569      466    37985        0        0      400338   1035508  1137901   317821       15        0       29        0        0        0 
   30060   773177    42410   701812        0   174949     3519   178383      155   142456        0        0      406310   1111089  1137886   317806       15        0       10        0        0        0 
   40609   747349    48888   708481        0   176962     3698   143525      265   125315        0        0      412417   1092301  1137882   317805        4        0       48        0        0        0 
   28503   756882    53428   708542        0   174895     3722     9088       24     8482        0        0      417022   1101830  1137882   317805        0        0       48        0        0        0 
   20017   763250    56014   708640        0   174397     3522    15594      273    11367        0        0      420388   1107516  1137882   317805        0        0        0        0        0        0 
   11297   767459    60602   708556        0   174408     3522     8009       28     6962        0        0      425196   1111421  1137878   317805        4        0        0        0        0        0 
    4370   770514    64619   708465        0   174417     2953     9243      416     6439       18      573      429337   1114261  1137878   317805        0        0       58        7        0        0 
    3686   772623    60223   711328        0   174432     2969     6273       24     5773        0        0      425120   1119054  1137876   317805        2        0        0        0        0        0 
    3923   771254    58499   714173        0   174441     2969     6356      269     4439        0        2      423433   1120493  1137876   317805        0        0       73      119        0        0 
    3632   772838    51497   720034        0   174461     2949    10079      166     8446        0        2      416790   1127579  1137876   317805        0        0       33        3        0        0 
   38406   755235    42580   711740        0   174449     2952    22043     1201    15667        0        0      408644   1100911  1137859   317791       17        0       84        0        0        0 
   32250   756133    41551   714177        0   178221     3009     7424      467     6774        0        0      409164   1102697  1137856   317790        3        0      526        0        0        0 
   32109   759423    41462   714646        0   174812     3357     4963      267     2408        0        0      409172   1106359  1137853   317789        3        0        0        0        0        0 
   31580   758615    40707   716709        0   174776     3357     3069      639     1369        0        0      409184   1106847  1137853   317789        0        0        0        0        0        0 
   28374   760773    40070   718277        0   174776     3357     3326     1229     1973        0        0      409188   1109932  1137853   317789        0        0        0        0        0        0 
   26468   761109    38828   721179        0   174776     3357     5667      392     2438        0        0      409195   1111921  1137853   317789        0        0        0        0        0        0 
   23066   763278    38767   722511        0   174778     3357     4686      192     4383        0        0      409198   1115358  1137853   317789        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   20153   765083    38778   724050        0   174370     3364   12355M  790986K 6422622K  322165K 43972066      409210   1118701  1137852   317789  332160K  422034K  169092K  2235749  4454059  5792390 
   17232   766594    38782   726522        0   173274     4428     3173        0     2968       31        0      409214   1122684  1137852   317789        0        0        0        0        0        0 
   14104   767612    38773   726955        0   174958     3255     8126     2015     2913        0        0      409343   1123997  1137839   317789       13        0      145        0        0        0 
    3552   772403    27278   744120        0   174973     3245    24112      397    22625        0        2      398348   1145453  1137839   317789        0        0       12        0        0        0 
    3872   772115    25114   746032        0   175257     3077    11447     1023     8570        0      170      396184   1147077  1137839   317789        0        0        0        0        0        0 
